index,Unnamed: 0,Ingredient,Text,Recipe_Index,Rating,Quantity,Unit
69,70,all purpose flour,1.8 cups all purpose flour,AR_89,0.909890079,1.8,cup
70,71,all purpose flour,5.0 cups all purpose flour,AR_90,0.902608681,5.0,cup
71,72,all purpose flour,4.0 cups all purpose flour,AR_91,0.928301907,4.0,cup
72,73,all purpose flour,4.0 cups all purpose flour,AR_95,0.844067764,4.0,cup
73,74,all purpose flour,2.333333333333333 cups all purpose flour,AR_96,0.818181801,2.333333333,cup
74,75,all purpose flour,1.8 cups all purpose flour,AR_97,0.933333302,1.8,cup
75,76,all purpose flour,5.8133333333333335 cups all purpose flour,AR_98,0.90666666,5.813333333,cup
76,77,all purpose flour,1.0 cup plus 2 tablespoons all purpose flour,E_133,0.75,1.0,cup
77,78,all purpose flour,192.0 tablespoons plain all purpose flour,E_169,0.5,12.0,cup
78,79,all purpose flour,2.4 cup plus 2 tablespoons all purpose flour,E_21,0.75,2.4,cup
79,80,all purpose flour,3.0 cups all purpose flour,E_215,0.875,3.0,cup
80,81,all purpose flour,2.0 cups all purpose flour,E_220,0.75,2.0,cup
81,82,all purpose flour,5.14285714286 cups all purpose flour,E_230,0.875,5.142857143,cup
82,83,all purpose flour,3.5 cups all purpose flour,E_258,0.75,3.5,cup
83,84,all purpose flour,5.4 cups all purpose flour,E_26,0.875,5.4,cup
84,85,all purpose flour,2.0 cups all purpose flour,E_362,0.625,2.0,cup
85,86,all purpose flour,3.42857142857 cups all purpose flour,E_375,0.75,3.428571429,cup
86,87,all purpose flour,4.36363636364 cups plain all purpose flour,E_399,1.0,4.363636364,cup
87,88,all purpose flour,0.32 cup all purpose flour,E_509,0.75,0.32,cup
88,89,all purpose flour,2.4 cups all purpose flour,E_79,0.75,2.4,cup
89,90,all purpose flour,2.88 cups all purpose flour,E_87,0.75,2.88,cup
90,91,all purpose flour,16.0 cups all purpose flour,E_88,0.375,16.0,cup
91,92,all purpose flour,2.5 cups all purpose flour,E_89,0.875,2.5,cup
92,93,all purpose flour,1.8 cups all purpose flour,E_91,1.0,1.8,cup
93,94,all purpose flour,3.6 cups all purpose flour,Misc_10,,3.6,cup
94,95,all purpose flour,6.0 cups of all purpose flour,Misc_101,,6.0,cup
95,96,all purpose flour,7.0 cup 210 g flour,Misc_102,,7.0,cup
96,97,all purpose flour,3.33333333333 â2 cups all purpose flour,Misc_103,,3.333333333,cup
97,98,all purpose flour,2.0 cups 6 1/2 oz./200 g unbleached all purpose flour,Misc_104,,2.0,cup
98,99,all purpose flour,8.0 cup plus 2 tbs. all purpose flour,Misc_105,,8.0,cup
99,100,all purpose flour,3.0 cups all purpose flour,Misc_106,,3.0,cup
100,101,all purpose flour,2.0 cups 6 1/2 oz./200 g unbleached all purpose flour,Misc_107,,2.0,cup
101,102,all purpose flour,2.5 cups all purpose flour,Misc_108,,2.5,cup
102,103,all purpose flour,4.0 cups flour,Misc_109,,4.0,cup
103,104,all purpose flour,1.8 cups all purpose flour,Misc_11,,1.8,cup
104,105,all purpose flour,"18.75 ounces all purpose flour, such as gold medal",Misc_110,,2.34375,cup
105,106,all purpose flour,2.93333333333 cups all purpose flour 350g,Misc_111,,2.933333333,cup
106,107,all purpose flour,5.33333333333 cups plus 3 tablespoons all purpose flour,Misc_112,,5.333333333,cup
107,108,all purpose flour,2.85714285714 cups all purpose flour do not sift,Misc_113,,2.857142857,cup
108,109,all purpose flour,3.6 cups all purpose flour,Misc_114,,3.6,cup
109,110,all purpose flour,3.0 cups all purpose flour see notes below,Misc_12,,3.0,cup
110,111,all purpose flour,3.0 cups all purpose flour,Misc_13,,3.0,cup
111,112,all purpose flour,5.53846153846 cups 380 grams all purpose flour,Misc_14,,5.538461538,cup
112,113,all purpose flour,2.93333333333 cups all purpose flour 350g,Misc_15,,2.933333333,cup
113,114,all purpose flour,2.83333333333 cups all purpose flour,Misc_16,,2.833333333,cup
114,115,all purpose flour,4.25 cups all purpose flour,Misc_17,,4.25,cup
115,116,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_18,,2.666666667,cup
116,117,all purpose flour,4.875 cups all purpose flour 415g,Misc_19,,4.875,cup
117,118,all purpose flour,1.5 cups all purpose flour 1.5 cups,Misc_2,,1.5,cup
118,119,all purpose flour,5.0 cups all purpose flour,Misc_20,,5.0,cup
119,120,all purpose flour,2.33333333333 cups plus 1 tablespoon all purpose flour,Misc_22,,2.333333333,cup
120,121,all purpose flour,4.0 cups plus 3 tablespoons all purpose flour,Misc_23,,4.0,cup
121,122,all purpose flour,2.0 cups all purpose flour,Misc_24,,2.0,cup
122,123,all purpose flour,5.33333333333 cups all purpose flour,Misc_26,,5.333333333,cup
123,124,all purpose flour,5.0 cups 325 grams all purpose flour,Misc_27,,5.0,cup
124,125,all purpose flour,5.0 cups all purpose flour,Misc_28,,5.0,cup
125,126,all purpose flour,2.66666666667 cups plus 2.66666666667 tablespoons flour,Misc_29,,2.666666667,cup
126,127,all purpose flour,0.0 cup/50.0 grams all purpose flour,Misc_3,,0.0,cup
127,128,all purpose flour,5.4 cups all purpose flour,Misc_30,,5.4,cup
128,129,all purpose flour,2.0 cups all purpose flour,Misc_31,,2.0,cup
129,130,all purpose flour,6.0 cups flour,Misc_32,,6.0,cup
130,131,all purpose flour,2.64 cup all purpose flour,Misc_33,,2.64,cup
131,132,all purpose flour,8.57142857143 cups 12 1/2oz/375g all purpose flour/plain flour,Misc_34,,8.571428571,cup
132,133,all purpose flour,2.46153846154 cups all purpose flour,Misc_35,,2.461538462,cup
133,134,all purpose flour,5.25 cups flour,Misc_36,,5.25,cup
134,135,all purpose flour,4.0 cups all purpose flour,Misc_37,,4.0,cup
135,136,all purpose flour,5.2 cups flour,Misc_38,,5.2,cup
136,137,all purpose flour,1.6  1/4 cups all purpose flour,Misc_39,,1.6,cup
137,138,all purpose flour,9.6 cups/256 grams all purpose flour,Misc_4,,9.6,cup
138,139,all purpose flour,2.25 cups 295 grams all purpose flour,Misc_40,,2.25,cup
139,140,all purpose flour,2.7 cups all purpose flour,Misc_41,,2.7,cup
140,141,all purpose flour,4.8 cups flour,Misc_42,,4.8,cup
141,142,all purpose flour,2.52631578947 and  3/4 cups 345 grams all purpose flour spooned & leveled,Misc_43,,2.526315789,cup
142,143,all purpose flour,4.0 cups plus 4.0 tbsp all purpose flour,Misc_44,,4.0,cup
143,144,all purpose flour,2.66666666667 cups bakerâs corner all purpose flour,Misc_45,,2.666666667,cup
144,145,all purpose flour,3.5 cup all purpose flour,Misc_46,,3.5,cup
145,146,all purpose flour,1.42857142857 cups unsifted all purpose flour,Misc_47,,1.428571429,cup
146,147,all purpose flour,2.66666666667 cups king arthur unbleached all purpose flour,Misc_48,,2.666666667,cup
147,148,all purpose flour,2.90909090909 cups all purpose flour,Misc_5,,2.909090909,cup
148,149,all purpose flour,4.25 	cups all purpose flour,Misc_50,,4.25,cup
149,150,all purpose flour,2.13333333333 	cups all purpose flour,Misc_51,,2.133333333,cup
150,151,all purpose flour,1.68 	cups 238 grams all purpose flour,Misc_52,,1.68,cup
151,152,all purpose flour,5.25 	cups unbleached all purpose flour,Misc_53,,5.25,cup
152,153,all purpose flour,2.66666666667 cups pillsbury bestâ¢ all purpose flour,Misc_54,,2.666666667,cup
153,154,all purpose flour,2.85714285714 cups unbleached all purpose flour,Misc_55,,2.857142857,cup
154,155,all purpose flour,4.0 cups 250g all purpose flour spoon & leveled,Misc_56,,4.0,cup
155,156,all purpose flour,3.5 cups all purpose flour,Misc_6,,3.5,cup
